parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.35789475,2021-08-01T14:44:00Z,1403,45,2185,2[Zeil],2021-08-01T14:42:02.376Z
0.2807309,2021-08-01T14:54:00Z,433,150,602,1[Anlagenring],2021-08-01T14:52:02.622Z
0.07967033,2021-08-01T14:54:00Z,335,0,364,4[Bahnhofsviertel],2021-08-01T14:52:02.622Z
0.49959514,2021-08-01T14:54:00Z,618,0,1235,5[Dom / Römer],2021-08-01T14:52:02.622Z
0.3583524,2021-08-01T14:54:00Z,1402,45,2185,2[Zeil],2021-08-01T14:52:02.622Z
0.27242523,2021-08-01T15:04:00Z,438,150,602,1[Anlagenring],2021-08-01T15:02:02.634Z
0.07417583,2021-08-01T15:04:00Z,337,0,364,4[Bahnhofsviertel],2021-08-01T15:02:02.634Z
0.508502,2021-08-01T15:04:00Z,607,0,1235,5[Dom / Römer],2021-08-01T15:02:02.634Z
0.35926774,2021-08-01T15:04:00Z,1400,45,2185,2[Zeil],2021-08-01T15:02:02.634Z
0.26578072,2021-08-01T15:30:00Z,442,150,602,1[Anlagenring],2021-08-01T15:27:00.568Z
0.082417585,2021-08-01T15:30:00Z,334,0,364,4[Bahnhofsviertel],2021-08-01T15:27:00.568Z
0.5238866,2021-08-01T15:30:00Z,588,0,1235,5[Dom / Römer],2021-08-01T15:27:00.568Z
0.36155605,2021-08-01T15:30:00Z,1395,45,2185,2[Zeil],2021-08-01T15:27:00.568Z
0.25083056,2021-08-01T15:50:00Z,451,150,602,1[Anlagenring],2021-08-01T15:47:00.830Z
0.07967033,2021-08-01T15:50:00Z,335,0,364,4[Bahnhofsviertel],2021-08-01T15:47:00.830Z
0.52064776,2021-08-01T15:50:00Z,592,0,1235,5[Dom / Römer],2021-08-01T15:47:00.830Z
0.3647597,2021-08-01T15:50:00Z,1388,45,2185,2[Zeil],2021-08-01T15:47:00.830Z
0.26079735,2021-08-01T16:00:00Z,445,150,602,1[Anlagenring],2021-08-01T15:57:00.072Z
0.07417583,2021-08-01T16:00:00Z,337,0,364,4[Bahnhofsviertel],2021-08-01T15:57:00.072Z
0.52469635,2021-08-01T16:00:00Z,587,0,1235,5[Dom / Römer],2021-08-01T15:57:00.072Z
0.3652174,2021-08-01T16:00:00Z,1387,45,2185,2[Zeil],2021-08-01T15:57:00.072Z
0.2475083,2021-08-01T16:35:00Z,453,150,602,1[Anlagenring],2021-08-01T16:32:02.445Z
0.08516484,2021-08-01T16:35:00Z,333,0,364,4[Bahnhofsviertel],2021-08-01T16:32:02.445Z
0.5044534,2021-08-01T16:35:00Z,612,0,1235,5[Dom / Römer],2021-08-01T16:32:02.445Z
0.37116703,2021-08-01T16:35:00Z,1374,45,2185,2[Zeil],2021-08-01T16:32:02.445Z
0.2591362,2021-08-01T17:06:00Z,446,150,602,1[Anlagenring],2021-08-01T17:02:01.341Z
0.07417583,2021-08-01T17:06:00Z,337,0,364,4[Bahnhofsviertel],2021-08-01T17:02:01.341Z
0.49311742,2021-08-01T17:06:00Z,626,0,1235,5[Dom / Römer],2021-08-01T17:02:01.341Z
0.37208238,2021-08-01T17:06:00Z,1372,45,2185,2[Zeil],2021-08-01T17:02:01.341Z
0.26245847,2021-08-01T17:31:00Z,444,150,602,1[Anlagenring],2021-08-01T17:27:00.920Z
0.07967033,2021-08-01T17:31:00Z,335,0,364,4[Bahnhofsviertel],2021-08-01T17:27:00.920Z
0.49311742,2021-08-01T17:31:00Z,626,0,1235,5[Dom / Römer],2021-08-01T17:27:00.920Z
0.37025172,2021-08-01T17:31:00Z,1376,45,2185,2[Zeil],2021-08-01T17:27:00.920Z
0.26744187,2021-08-01T17:46:00Z,441,150,602,1[Anlagenring],2021-08-01T17:42:01.725Z
0.08516484,2021-08-01T17:46:00Z,333,0,364,4[Bahnhofsviertel],2021-08-01T17:42:01.725Z
0.47611335,2021-08-01T17:46:00Z,647,0,1235,5[Dom / Römer],2021-08-01T17:42:01.725Z
0.36887872,2021-08-01T17:46:00Z,1379,45,2185,2[Zeil],2021-08-01T17:42:01.725Z
